,year,COUNTRY,mount_kba_area,kba,cum_overlap,cum_percPA
29862,1952,GRL,25393699318,25393699318,0,0
29863,1952,GTM,51729613845,51729613845,0,0
29864,1952,GUF,22336553322,22336553322,0,0
29865,1952,GUY,2521603105,2521603105,0,0
29866,1952,HKG,776755434.9,776755434.9,0,0
29867,1952,HMD,391219532.6,391219532.6,0,0
29868,1952,HND,20013192139,20013192139,0,0
29869,1952,HRV,19831243938,19831243938,589986760.7,2.975036576
29870,1952,HTI,4709932936,4709932936,0,0
29871,1952,HUN,4994811143,4994811143,0,0
29872,1952,IDN,2.44273E+11,2.44273E+11,1951869598,0.799051005
29873,1952,IND,1.50902E+11,1.50902E+11,3336135494,2.21079187
29874,1952,IRL,3395766683,3395766683,0,0
29875,1952,IRN,75916321457,75916321457,0,0
29876,1952,IRQ,3770694290,3770694290,0,0
29877,1952,ISL,11275891132,11275891132,2820012689,25.00922239
29878,1952,ISR,7274151186,7274151186,0,0
29879,1952,ITA,59517508330,59517508330,2509984003,4.217219561
29880,1952,JAM,6191755671,6191755671,1254364086,20.2586173
29881,1952,JOR,7503151500,7503151500,0,0
29882,1952,JPN,3.19625E+11,3.19625E+11,15835438481,4.954381551
29883,1952,KAZ,44916991381,44916991381,724155875.4,1.612209218
29884,1952,KEN,60383752799,60383752799,26291185703,43.54016517
29885,1952,KGZ,2159779593,2159779593,714113802.8,33.06419808
29886,1952,KHM,43270945271,43270945271,0,0
29887,1952,KNA,65942608.97,65942608.97,0,0
29888,1952,KOR,1295433536,1295433536,0,0
29889,1952,LAO,51267444609,51267444609,0,0
29890,1952,LBN,2516835227,2516835227,101966.6988,0.004051386
29891,1952,LBR,11423112135,11423112135,0,0
29892,1952,LBY,3684771.576,3684771.576,0,0
29893,1952,LCA,240337066,240337066,91929151.3,38.25009303
